Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Nathan Peterman,-4,2,0,0,0,-2,0,0,0
Kyle Pitts,-4,1,0,0,0,-4,0,0,0
Cooper Rush,-5,12,0,0,0,6,1,8.3,0
Ja'Marr Chase,-6,3,0,0,0,2,0,0,0
Jameis Winston,-6,5,0,0,0,-1,0,0,0
Mike White,-9,8,0,0,0,0,0,0,1
Johnny Hekker,-11,1,0,0,0,-11,0,0,1
Ryan Stonehouse,-11,1,0,0,0,-11,0,0,1
Justin Jefferson,-12,1,0,0,0,-12,0,0,0
Kyle Allen,-13,13,0,0,0,0,0,0,0
Cameron Johnston,-23,1,0,0,0,-23,0,0,0
